objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,
cbheiloo01,cbheiloo01.jpg,,,The Ruins of the Chapel of Our Lady of Runxputte,Attributed to Schelte Ã  Bolswert,1637 (or after),Etching with engraving,pilgrimage;chapel;Runxputte;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Amsterdam, Rijksmuseum ",RP-P-OB-81.406,Image;StillImage,image/jpeg,eng,Public Domain,,"https://www.rijksmuseum.nl/en/search/objects?q=heiloo&p=2&ps=12&st=Objects&ii=7#/RP-P-OB-81.406,19"
cbheiloo02,cbheiloo02.jpg,,,St. Willibrord at the Site of the Chapel of Our Lady of Runxputte,Cornelis Danckerts,ca. 1650-1656,Etching with engraving,pilgrimage;chapel;Runxputte;Willibrord;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Amsterdam, Rijksmuseum",RP-P-OB-50.020,Image;StillImage,image/jpeg,eng,Public Domain,,"https://www.rijksmuseum.nl/en/search/objects?q=heiloo&p=3&ps=12&st=Objects&ii=4#/RP-P-OB-50.020,28"
cbheiloo03,cbheiloo03.jpg,,,Ôt Hyl—-er Ryskaartje,Creator unknown,1704,Engraving,pilgrimage;chapel;map;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Amsterdam, Rijksmuseum",RP-P-AO-9A-9,Image;StillImage,image/jpeg,eng,Public Domain,,"https://www.rijksmuseum.nl/en/search/objects?q=Ryskaartje&p=1&ps=12&st=Objects&ii=0#/RP-P-AO-9A-9,0"
cbheiloo04,cbheiloo04.jpg,,,The Madonna of the Rosary Altarpiece,Creator unknown,1631,Oil on canvas,pilgrimage;chapel;Heiloo;Dominic;Willibrord,"Heiloo, the Netherlands",52.58341968,4.68824397,"Heiloo, Parish of Willibrorduskerk",,Image;StillImage,image/jpeg,eng,Martin Kiefer,,
cbheiloo05,cbheiloo05.jpg,,,"Entrance Court of the Church of the Holy Sepulchre, in: Bernhard von Breydenbach, Peregrinatio in terram sanctam (Mainz 1488)",Erhard Reuwich,1486-1488,Woodcut,pilgrimage;Jerusalem;Sepulcher,"Jerusalem, Israel",31.77870929,35.22954655,"Amsterdam, Rijksmuseum",RP-P-OB-4033,Image;StillImage,image/jpeg,eng,Public Domain,,"https://www.rijksmuseum.nl/en/search/objects?q=Reuwich&p=1&ps=12&st=Objects&ii=7#/RP-P-OB-4033,7"
cbheiloo06,cbheiloo06.jpg,,,St. Willibrord and His Followers at St. Willibrordâ€™s Church in Heiloo,Creator unknown,Early 18th century,Oil on silk,pilgrimage;chapel;Runxputte;Willibrord;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Heiloo, Parish of Willibrorduskerk",,Image;StillImage,image/jpeg,eng,Elissa Auerbach,,
cbheiloo07,cbheiloo07.jpg,,,St. Willibrord at St. Willibrordâ€™s Church in Heiloo with the Utrecht Dom,Creator unknown,Early 18th century,Oil on silk,pilgrimage;chapel;Runxputte;Willibrord;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Heiloo, Parish of Willibrorduskerk",,Image;StillImage,image/jpeg,eng,Elissa Auerbach,,
cbheiloo07,cbheiloo08.jpg,,,Government survey of Onze Lieve VrouwÂ ter Nood met deÂ Runxputte,Creator unknown,1635,Ink on paper,pilgrimage;chapel;Runxputte;Heiloo;survey,"Heiloo, the Netherlands",52.58341968,4.68824397,"Loosdrecht, Kasteel-Museum Sypesteyn",,Image;StillImage,image/jpeg,eng,Kasteel-Museum Sypesteyn,,
cbheiloo09,cbheiloo09.jpg,,,Portrait of a Family at the Ruins of Onze Lieve Vrouw ter Nood met de Runxputte,Gerrit de Jongh,1630,Oil on panel,pilgrimage;chapel;Runxputte;Heiloo,"Heiloo, the Netherlands",52.58341968,4.68824397,"Utrecht, Museum Catharijneconvent ",BMH s473b,Image;StillImage,image/jpeg,eng,Museum Catharijneconvent,,https://adlib.catharijneconvent.nl/Details/collect/41722
cbheiloo10,cbheiloo10.jpg,,,John the Baptist in front of the Church of Saint John Lateran in Rome,Creator unknown,First quarter of the 16th century,Oil on panel,pilgrimage;Rome;Saint John Lateran,"Rome, Italy",41.8859,12.5057,"Utrecht, Museum Catharijneconvent ",ABM s37,Image;StillImage,image/jpeg,eng,Museum Catharijneconvent,,https://adlib.catharijneconvent.nl/Details/collect/40971
cbheiloo11,cbheiloo11.jpg,,,"St Antoniuskapel in the Sint Janskerk, Utrecht",Pieter Jansz. Saenredam,1635,Oil on panel,pilgrimage;Utrecht,"Utrecht, the Netherlands",52.09345318,5.121456527,"Utrecht, Centraal Museum",10390,Image;StillImage,image/jpeg,eng,Centraal Museum,,https://www.centraalmuseum.nl/nl/collectie/10390-de-sint-antoniuskapel-in-de-sint-janskerk-te-utrecht-pieter-jansz-saenredam
cbheiloo12,cbheiloo12.jpg,,,"Den godtvruchtighen pelgrim ofte Ierusalemsche reyse  (first published Brussels, J. Mommaert, 1650)",Bernardinus Surius,1650,Engraving,pilgrimage;Jerusalem,"Jerusalem, Israel",31.771959,35.217018,"Sint Jacobus de Meerdere parochie, Akersloot",,Image;StillImage,image/jpeg,eng,Sint Jacobus de Meerdere parochie,,